session_id,label,task_token_id,previous,token,following,user_id,country,days,client,session,format,time,n_tokens
1AWz4YOu02,0,3,lisent,ce,menu,JYFs1NZA,CA,14.959,ios,practice,listen,28,4
cYW4uGem06,0,1,placeholder,Où,placeholder,8rkubuSo,CA,3.782,ios,practice,reverse_tap,2,1
E7doAGg203,0,1,placeholder,J',placeholder,n8kObVt2,GB,8.036,ios,practice,listen,17,4
3+s9olQb03,1,4,les,grandes,crêpes,nT3TyToQ,GB,12.93,ios,practice,reverse_translate,29,5
E5uEBz5b02,0,1,placeholder,Vas,tu,lgXcEcLg,GB,17.748,android,practice,reverse_tap,17,4
owugBj6s03,1,1,placeholder,Un,garçon,md4/6AZB,CA,12.067,ios,practice,reverse_tap,1,2
mErHETPn04,0,1,placeholder,Il,mange,BfZAzBCr,GB,0.068,ios,practice,listen,11,2
lH48+3GU02,0,4,un,garçon,placeholder,ujH0P02R,AU,5.069,ios,practice,listen,4,4
H8e6gq3Z04,0,1,placeholder,Bonjour,placeholder,oHtnRGfM,CA,3.757,android,practice,reverse_tap,2,1
w9vENGQl08,1,2,L,enfant,placeholder,Yn+7VBPX,GB,0.444,web,practice,listen,6,2
GL0cYUxC07,1,2,Elle,mange,de,nT3TyToQ,GB,6.479,ios,practice,reverse_tap,9,5
dENlk3xJ02,1,1,placeholder,D',placeholder,NGcpmWF6,CA,7.721,ios,practice,reverse_translate,35,4
S0AfK7Q/04,0,5,l,alcool,et,YlSYUlRN,CA,4.069,web,practice,reverse_translate,14,9
g2NSx9Xu01,1,2,Il,faut,du,vB+nZZXf,GB,10.939,ios,practice,reverse_translate,34,4
gbYRImx004,0,1,placeholder,Les,hommes,BfZAzBCr,GB,1.887,ios,practice,reverse_tap,2031,5
UWvADCVp03,1,1,placeholder,Bonne,nuit,Tjw66jqv,GB,4.084,android,practice,reverse_translate,8,2
F8WarQjd03,0,4,la,banane,placeholder,fr6UvdHU,CA,2.998,web,practice,reverse_translate,7,4
C2gnbpsk01,0,4,sont,petits,placeholder,JQEeCBSU,CA,13.305,ios,practice,reverse_translate,15,4
IDofOlf210,0,1,placeholder,La,carotte,aj0jU5rP,GB,18.171,ios,practice,reverse_translate,5,2
0/buzUbJ08,0,1,placeholder,L',placeholder,1lVkmvUf,AU,12.772,web,practice,listen,10,5
cZQd/41O03,0,4,mangent,des,sandwichs,nl3zUIfm,CA,13.288,web,practice,listen,35,5
VCsZNcF101,0,3,bonbon,est,rouge,Dc0eIisl,AU,9.133,web,practice,reverse_translate,15,4
Qjv7Wz5v06,1,7,et,de,l,FEgf4Gv8,GB,16.132,android,practice,listen,19,9
KHi9EcOY10,1,4,et,je,mange,BgWXGb29,AU,7.006,ios,practice,listen,22,5
wn9qoPAL01,0,3,est,le,nôtre,lgXcEcLg,GB,8.473,android,practice,reverse_translate,14,4
VA5HbKpi04,0,4,un,serpent,placeholder,5CH4np96,GB,5.906,android,practice,reverse_translate,28,4
eS7ujU2T02,0,1,placeholder,Il,mange,CmTJozfq,CA,10.209,ios,practice,listen,4,2
YB/TbWhI03,0,4,un,sandwich,placeholder,fr6UvdHU,CA,0.328,web,practice,reverse_translate,27,4
wYqwK7tD02,0,2,Le,garçon,placeholder,DDhm1I5Q,GB,8,ios,practice,reverse_tap,3,2
+TJN63uj02,0,4,est,chaud,placeholder,0w7g6d8C,AU,9.476,android,practice,reverse_translate,12,4
p8jlg/xa02,0,2,Le,four,placeholder,EPxsAfD+,CA,19.259,ios,practice,listen,9,2
B+RUVdHu01,0,1,placeholder,C',placeholder,1QNKoPhc,CA,5.012,web,practice,reverse_translate,10,4
ltJJClPG04,0,1,placeholder,Nous,mangeons,RLW17b5E,AU,9.063,ios,practice,listen,16,4
XV+3TyEZ06,1,3,placeholder,-,placeholder,Ov04vIT6,CA,8.092,web,practice,listen,23,6
3Bn+dLp710,0,1,placeholder,Les,enfants,JYFs1NZA,CA,10.723,ios,practice,reverse_translate,24,5
V+2G28q+07,0,6,a,du,vin,2Pq/5VBt,GB,19.378,ios,practice,reverse_tap,69,7
BTz6Ua2+02,0,2,La,mouche,placeholder,si/zsQbs,CA,0.716,ios,practice,reverse_tap,5,2
kiPObCLO01,0,1,placeholder,Je,marche,2Pq/5VBt,GB,19.343,ios,practice,reverse_tap,10,2
M5g+FG7m04,0,3,mon,fils,placeholder,eTUevpJv,GB,17.122,web,practice,reverse_translate,13,3
yEHzAZRF03,0,5,sont,grandes,placeholder,ufYlYaO/,CA,15.7,web,practice,reverse_translate,20,5
BOt3OD4r01,0,1,placeholder,Les,chiennes,FEgf4Gv8,GB,16.144,android,practice,reverse_tap,3,2
u0xYln7I06,0,3,garçon,mange,un,fr6UvdHU,CA,3.951,web,practice,listen,11,5
E8dxBFe/01,0,1,placeholder,Un,garçon,oHtnRGfM,CA,5.833,android,practice,reverse_translate,20,5
tbBus2xC05,0,2,Il,mange,du,RLW17b5E,AU,3.976,ios,practice,reverse_tap,4,4
u8DTbXs103,0,1,placeholder,Il,mange,Tv0goh52,GB,0.739,ios,practice,listen,14,2
7BXthgwW10,0,3,sommes,riches,placeholder,RLW17b5E,AU,10.145,ios,practice,reverse_tap,6,3
7g63jW+Y03,0,3,mange,des,baguettes,Yn+7VBPX,GB,12.933,ios,practice,reverse_tap,6,4
tENT4QQ605,0,4,est,rouge,placeholder,JkJ31O/N,AU,1.759,ios,practice,reverse_tap,5,4
YcAifIv304,0,1,placeholder,Je,suis,nEbrBemU,CA,6.857,ios,practice,listen,25,3
SQO3Yxxa06,1,4,a,une,fille,NGcpmWF6,CA,5.898,ios,practice,listen,19,5
QNQf1Wzp02,0,1,placeholder,Il,l,BZz0+WFq,GB,17.121,web,practice,reverse_translate,3,3
E+Rna6PM02,1,4,sont,rouges,placeholder,fr6UvdHU,CA,1.067,web,practice,reverse_translate,20,4
T0huzIGE01,0,2,Un,cheval,placeholder,LKo9j8Iu,CA,13.937,ios,practice,reverse_translate,10,2
u0xYln7I01,0,3,poule,est,un,fr6UvdHU,CA,3.951,web,practice,reverse_translate,16,5
ondrLMid03,0,4,est,un,animal,6Iox8M7G,CA,2.069,ios,practice,reverse_tap,15,5
WRXWInh205,0,3,suis,une,fille,8rkubuSo,CA,8.214,ios,practice,reverse_tap,9,4
UabkxS7g09,0,1,placeholder,L',placeholder,EPxsAfD+,CA,19.289,ios,practice,reverse_tap,9,2
TbwORzjt03,0,1,placeholder,Oui,ou,1QNKoPhc,CA,9.443,web,practice,reverse_translate,3,3
Z1Ao/FGH05,0,3,ceinture,est,noire,1lVkmvUf,AU,9.922,ios,practice,reverse_translate,8,4
3dUzupf401,0,2,C,est,le,JkJ31O/N,AU,7.566,ios,practice,reverse_translate,64,4
4M9uqpSq02,1,4,des,filles,placeholder,KPHN1r/s,AU,11.363,ios,practice,reverse_translate,33,4
XzYBRQFt05,0,2,Je,mange,une,T47exPfc,GB,3.025,ios,practice,reverse_tap,59,4
ke8HYXvF02,0,2,La,confiture,placeholder,fr6UvdHU,CA,4.303,web,practice,reverse_translate,2,2
uDNo0+vl07,0,4,une,grande,robe,YlSYUlRN,CA,4.077,web,practice,listen,9,5
3cV2uPb703,0,1,placeholder,Sel,et,GIYQ1bA5,GB,12.996,android,practice,reverse_tap,22,3
FTz5sUAQ09,0,3,garçon,et,la,RLW17b5E,AU,4.024,ios,practice,reverse_tap,9,5
swYub0fE04,0,3,papa,merci,maman,Aicaofcm,CA,6.957,android,practice,listen,29,4
C2epQCw502,1,1,placeholder,Une,abeille,soCS33Jg,AU,4.15,ios,practice,reverse_translate,8,2
tVV0MG/P01,1,2,Les,jupes,placeholder,8rkubuSo,CA,11.044,ios,practice,reverse_translate,5,2
v7+aOiV806,0,4,une,orange,placeholder,W4pjuWhL,AU,0.816,ios,practice,listen,7,4
TX5c7Lja05,0,4,bien,merci,placeholder,r4vYj/1U,CA,0.273,web,practice,reverse_translate,7,4
2RyPVEuA05,1,1,placeholder,Salut,à,ZY1jfklj,CA,7.592,web,practice,reverse_translate,19,3
QHVoMn/Q01,0,4,le,nôtre,placeholder,8rkubuSo,CA,14.269,ios,practice,reverse_translate,14,4
ke8HYXvF04,0,3,lait,est,froid,fr6UvdHU,CA,4.303,web,practice,reverse_translate,8,4
PKDWKSfm08,0,1,placeholder,J',placeholder,fr6UvdHU,CA,2.166,web,practice,listen,7,5
q85zWeT202,0,3,homme,est,jeune,aGjN3Ho/,GB,18.473,android,practice,reverse_translate,29,4
skSYNRhx02,0,1,placeholder,Je,mange,vtQRvkDc,GB,6.2,ios,practice,reverse_translate,2,2
jX5KeuAA05,1,1,placeholder,D',placeholder,KPHN1r/s,AU,3.925,ios,practice,reverse_tap,3,2
bS5WJsZ502,0,2,C,est,long,yWyIHnfa,AU,8.365,ios,practice,reverse_tap,6,3
Y06EO+b007,0,2,Les,hommes,sont,md4/6AZB,CA,13.696,ios,practice,listen,16,4
D4kCJN/G01,0,2,La,confiture,placeholder,GzCqsB8P,CA,13.452,ios,practice,reverse_tap,3,2
PKu8VU4102,0,3,café,et,du,MchfXRuY,AU,9.986,ios,practice,reverse_translate,10,5
fL9C67Ua08,0,2,Je,bois,de,SVXpN0M+,CA,2.857,web,practice,listen,20,9
N4cJagxS03,0,1,placeholder,Le,garçon,MchfXRuY,AU,2.029,ios,practice,reverse_translate,12,2
jvbDtnfb03,0,1,placeholder,Un,repas,+XG8trcU,GB,8.779,ios,practice,reverse_tap,2,2
